0
8.7757416+e01 9.9854968+e01
7.7839485+e01 7.5656297+e01
3.9263246+e01 3.4053902+e01
3.7312045+e01 1.8229613+e01
1.1615877+e01 4.2465817+e01
1.5690433+e01 9.375096+e01
1.3267815+e01 7.0240443+e01
3.994565+e01 6.1677968+e01
3.358216+e01 5.4162537+e01
3.3227307+e00 9.7811124+e01
2.6627125+e01 7.3821853+e01
6.9212531+e01 6.2921788+e01
7.1694323+e01 8.047853+e01
9.5934916+e01 6.03451+e01
5.7463759+e01 4.3535243+e01
3.8251645+e01 3.9127193+e01
7.5996964+e01 9.9350364+e01
2.1397005+e01 5.886556+e01
8.1674818+e01 9.0994156+e01
5.8214541+e01 7.8976184+e01
7.0539786+e01 1.9086617+e01
9.9141998+e01 1.3154522+e01
2.056809+e01 1.747723+e01
8.0260582+e01 7.7077251+e01
6.7273491+e01 5.559429+e01
4.1665333+e01 1.1220927+e01
9.5957071+e00 9.8083589+e01
8.5267301+e01 2.9998063+e01
1.3879949+e01 6.3447385+e00
5.7519805+e01 8.5399022+e01
3.9034985+e01 7.4445189+e01
9.9840136+e01 8.7300251+e01
9.8764254+e01 4.0709376+e00
4.817601+e01 1.4893487+e01
9.1669186+e01 8.6399786+e01
7.6454301+e01 7.7784384+e00
4.5486249+e01 4.1414434+e01
4.3396364+e01 8.5192459+e01
8.4572471+e01 2.7625023+e01
4.0418728+e01 5.9694994+e00
4.4433405+e00 7.1770468+e01
1.4980518+e01 8.0168799+e01
1.8980886+e01 4.217867+e01
9.4243423+e00 1.2835001+e01
7.8119804+e01 1.491007+e01
4.1773706+e01 4.704211+e01
5.9969322+e01 2.3883546+e01
3.3409356+e01 5.9225957+e01
4.1743384+e01 4.8000081+e01
1.1630922+e00 4.1801318+e01
8.8801827+e01 7.9491969+e01
3.0825253+e01 2.4987279+e00
3.6347922+e01 10.1583795+e00
6.7257076+e01 9.0143399+e01
2.0352208+e00 2.5027544+e01
6.9607136+e01 9.4358633+e01
7.9196948+e01 2.5774584+e01
3.583391+e01 1.6477877+e01
2.3745871+e01 8.3730853+e01
8.6932383+e01 7.0684181+e01
5.5790186+e01 2.6320899+e01
2.7219793+e01 4.3802587+e01
3.9600214+e01 0.1938608+e00
1.3041343+e01 6.3214804+e01
8.5739191+e00 7.1248769+e01
2.7452915+e01 6.406259+e01
0.0140613+e00 6.6403208+e01
4.7912897+e01 7.5825096+e01
9.927483+e01 3.907291+e01
2.8829829+e01 3.1316405+e01
5.6833507+e01 1.7840498+e01
5.0971015+e01 7.4066393+e01
9.8025982+e01 9.9182265+e01
3.2437965+e01 3.3180429+e01
2.2214826+e01 5.9277867+e01
5.9119576+e01 4.8454987+e01
2.8380408+e01 2.6689427+e01
8.9620739+e01 6.9475436+e01
5.5477671+e01 8.379412+e01
6.5755579+e01 8.6046223+e01
10.8762664+e00 2.1112394+e01
6.4071625+e01 7.7629144+e01
2.6137844+e01 1.2669479+e01
7.433502+e01 3.0005813+e01
6.4461633+e00 3.571391+e01
6.8286538+e00 4.469926+e01
9.3709169+e01 6.7529859+e01
6.5231898+e01 4.2477868+e01
9.3867101+e00 4.7554393+e01
1.5799835+e01 4.0948076+e01
1.84483+e01 5.9684201+e01
1.6588047+e01 9.0967216+e01
8.8884335+e01 1.4348507+e01
6.5589699+e01 4.4522331+e01
6.6240506+e01 5.9286963+e01
2.4661157+e01 6.5055402+e00
9.4545076+e01 2.8297067+e01
3.4556204+e00 3.1798453+e01
3.3711043+e01 7.1240654+e01
2.1876839+e01 5.9078547+e01
